Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,8,rwenmax
Akagami no Shirayuki-hime 2nd Season,7,rwenmax
Akatsuki no Yona,7,rwenmax
Akuyaku Reijou nano de Last Boss wo Kattemimashita,7,rwenmax
Amagi Brilliant Park,7,rwenmax
Angel Beats!,7,rwenmax
Ano Natsu de Matteru,7,rwenmax
Ao no Exorcist,7,rwenmax
Arifureta Shokugyou de Sekai Saikyou,7,rwenmax
Assassins Pride,7,rwenmax
Baka to Test to Shoukanjuu Ni!,7,rwenmax
Boku no Hero Academia 2,7,rwenmax
Bokura wa Minna Kawaisou,7,rwenmax
Boushoku no Berserk,7,rwenmax
BTOOOM!,7,rwenmax
Charlotte,7,rwenmax
Code Geass: Hangyaku no Lelouch,7,rwenmax
Date A Live,7,rwenmax
Devils' Line,7,rwenmax
Fuuka,7,rwenmax
Gakusen Toshi Asterisk 2,7,rwenmax
"GATE: Jieitai Kanochi nite, Kaku Tatakaeri",7,rwenmax
"GATE: Jieitai Kanochi nite, Kaku Tatakaeri 2",7,rwenmax
GHOST IN THE SHELL: Koukaku Kidoutai,7,rwenmax
GOSICK,7,rwenmax
Grisaia no Rakuen,7,rwenmax
Hataraku Maou-sama!,7,rwenmax
Hidan no Aria,7,rwenmax
Hige wo Soru. Soshite Joshikousei wo Hirou.,7,rwenmax
Hitsugi no Chaika,7,rwenmax
Hotarubi no Mori e,7,rwenmax
Isshuukan Friends.,7,rwenmax
Itazura na Kiss,7,rwenmax
Jaku-Chara Tomozaki-kun,7,rwenmax
Kami nomi zo Shiru Sekai II,7,rwenmax
Kamitachi ni Hirowareta Otoko,7,rwenmax
Kareshi Kanojo no Jijou,7,rwenmax
Kenja no Mago,7,rwenmax
Kimi ni Todoke,7,rwenmax
Kimi ni Todoke 2ND SEASON,7,rwenmax
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",7,rwenmax
Knight's & Magic,7,rwenmax
Koi to Yobu ni wa Kimochi Warui,7,rwenmax
Koi wa Ameagari no You ni,7,rwenmax
Kokoro Connect: Michi Random,7,rwenmax
Kyoukai no Kanata,7,rwenmax
Kyoukai no Kanata: I'LL BE HERE - Kako-hen,7,rwenmax
Little Busters!,7,rwenmax
Little Busters!: Refrain,7,rwenmax
Mahouka Koukou no Rettousei,7,rwenmax
Mushikaburi-hime,7,rwenmax
Mushoku Tensei: Isekai Ittara Honki Dasu,7,rwenmax
Nanatsu no Maken ga Shihai Suru,7,rwenmax
Nejimaki Seirei Senki: Tenkyou no Alderamin,7,rwenmax
Net-juu no Susume,7,rwenmax
Nisekoi,7,rwenmax
Nisekoi:,7,rwenmax
Ore dake Level Up na Ken,7,rwenmax
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,7,rwenmax
Ore wo Suki nano wa Omae dake ka yo,7,rwenmax
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta… X,7,rwenmax
Plastic Memories,7,rwenmax
Rikei ga Koi ni Ochita no de Shoumei shitemita. r=1-sinθ (Heart),7,rwenmax
Rokudenashi Majutsu Koushi to Akashic Records,7,rwenmax
Romantic Killer,7,rwenmax
Saenai Heroine no Sodatekata,7,rwenmax
Saikyou Onmyouji no Isekai Tenseiki,7,rwenmax
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,7,rwenmax
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",7,rwenmax
"Sentouin, Hakenshimasu!",7,rwenmax
Shadows House,7,rwenmax
"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni shimashita",7,rwenmax
Shinchou Yuusha: Kono Yuusha ga Ore TUEEE Kuse ni Shinchou Sugiru,7,rwenmax
Shiro Seijo to Kuro Bokushi,7,rwenmax
Sono Bisque Doll wa Koi wo Suru,7,rwenmax
Soredemo Sekai wa Utsukushii,7,rwenmax
Strike the Blood,7,rwenmax
Strike the Blood II,7,rwenmax
Suzumiya Haruhi no Shoushitsu,7,rwenmax
Suzumiya Haruhi-chan no Yuuutsu,7,rwenmax
Sword Art Online: Ordinal Scale,7,rwenmax
Tamako Love Story,7,rwenmax
Toaru Hikuushi e no Koiuta,7,rwenmax
Toshokan Sensou,7,rwenmax
Trinity Seven,7,rwenmax
Ushinawareta Mirai wo Motomete,7,rwenmax
Wotaku ni Koi wa Muzukashii,7,rwenmax
Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku,7,rwenmax
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,7,rwenmax
Zero no Tsukaima,7,rwenmax
Zero no Tsukaima F,7,rwenmax
Zero no Tsukaima: Futatsuki no Kishi,7,rwenmax
